0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,
0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,0.949,
0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,0.965,
0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,0.979,
0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,0.935,
0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,0.953,
0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,0.952,
0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,
0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,0.936,
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,0.959,
0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,
0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,
0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,0.908,
0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,0.942,
0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,
0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,0.928,
0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,
0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.992,
0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,0.898,
0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,
0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,
0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,
0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,0.956,
0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,
0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,0.977,
0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,0.974,
0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,0.963,
0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,0.931,
0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,0.941,
0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,
0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,0.902,
